141.11.86.109,8080,TW,Akile
141.11.86.94,18333,TW,Akile
141.11.87.111,8080,TW,Akile
175.97.191.217,30100,TW,TWN Broadband
188.253.6.210,443,TW,Akari Networks
188.253.6.53,25884,TW,Akari Networks
35.201.203.106,443,TW,Google Cloud
37.128.252.113,31141,TW,Cloudflare Warp
37.128.252.196,8080,TW,Akile
83.147.13.199,443,TW,Akari Networks
156.251.180.181,21698,US,Cnservers LLC
154.55.138.210,20010,US,Zillion-network
192.252.182.52,7602,US,CTG Server
192.253.238.34,40560,US,CTG Server
38.55.195.234,49850,US,Lucidacloud
209.182.237.252,8080,US,Hivelocity
156.154.245.81,443,US,Securityservices
156.154.245.83,443,US,Securityservices
